word,base,person,amount,imperfective,concrete,gender,mood,meaning,tense
# идти,идти,,,true,true,,,to walk,
иду,идти,1,Singular,true,true,,Indicative,I walk,Present
идёшь,идти,2,Singular,true,true,,Indicative,you walk,Present
идёт,идти,3,Singular,true,true,,Indicative,he/she/it walks,Present
идём,идти,1,Plural,true,true,,Indicative,we walk,Present
идёте,идти,2,Plural,true,true,,Indicative,you walk,Present
идут,идти,3,Plural,true,true,,Indicative,they walk,Present
иди,идти,2,Singular,true,true,,Imperative,walk!,
идите,идти,2,Plural,true,true,,Imperative,walk!,
шёл,идти,,Singular,true,true,Masculine,Indicative,he walked,Past
шла,идти,,Singular,true,true,Feminine,Indicative,she walked,Past
шло,идти,,Singular,true,true,Neutral,Indicative,it walked,Past
шли,идти,,Plural,true,true,,Indicative,they walked,Past
пойти,идти,,,false,true,,,to walk,
пойду,идти,1,Singular,false,true,,Indicative,I will walk,Future
пойдёшь,идти,2,Singular,false,true,,Indicative,you will walk,Future
пойдёт,идти,3,Singular,false,true,,Indicative,he/she/it will walk,Future
пойдём,идти,1,Plural,false,true,,Indicative,we will walk,Future
пойдёте,идти,2,Plural,false,true,,Indicative,you will walk,Future
пойдут,идти,3,Plural,false,true,,Indicative,they will walk,Future
пойди,идти,2,Singular,false,true,,Imperative,walk!,
пойдите,идти,2,Plural,false,true,,Imperative,walk!,
пошёл,идти,,Singular,false,true,Masculine,Indicative,he walked,Past
пошла,идти,,Singular,false,true,Feminine,Indicative,she walked,Past
пошло,идти,,Singular,false,true,Neutral,Indicative,it walked,Past
пошли,идти,,Plural,false,true,,Indicative,they walked,Past
ходить,идти,,,true,false,,,to walk,
хожу,идти,1,Singular,true,false,,Indicative,I walk,Present
ходишь,идти,2,Singular,true,false,,Indicative,you walk,Present
ходит,идти,3,Singular,true,false,,Indicative,he/she/it walks,Present
ходим,идти,1,Plural,true,false,,Indicative,we walk,Present
ходите,идти,2,Plural,true,false,,Indicative,you walk,Present
ходят,идти,3,Plural,true,false,,Indicative,they walk,Present
ходи,идти,2,Singular,true,false,,Imperative,walk!,
ходите,идти,2,Plural,true,false,,Imperative,walk!,
ходил,идти,,Singular,true,false,Masculine,Indicative,he walked,Past
ходила,идти,,Singular,true,false,Feminine,Indicative,she walked,Past
ходило,идти,,Singular,true,false,Neutral,Indicative,it walked,Past
ходили,идти,,Plural,true,false,,Indicative,they walked,Past
сходить,идти,,,false,false,,,to walk,
схожу,идти,1,Singular,false,false,,Indicative,I will walk,Future
сходишь,идти,2,Singular,false,false,,Indicative,you will walk,Future
сходит,идти,3,Singular,false,false,,Indicative,he/she/it will walk,Future
сходим,идти,1,Plural,false,false,,Indicative,we will walk,Future
сходите,идти,2,Plural,false,false,,Indicative,you will walk,Future
